,Open,High,Low,Close,Adj Close,Volume,Date,stock_name
60,64.120003,64.720001,62.181,62.549999,62.396267,1860100.0,2022-04-14,CEG
61,62.290001,64.169998,62.290001,63.310001,63.154404,1216800.0,2022-04-18,CEG
62,63.630001,66.889999,62.880001,66.709999,66.546043,2078800.0,2022-04-19,CEG
63,67.82,68.68,65.065002,65.410004,65.249245,2182800.0,2022-04-20,CEG
64,65.0,66.300003,62.150002,62.669998,62.515972,2493700.0,2022-04-21,CEG
65,62.5,64.456001,62.290001,62.43,62.276566,2030500.0,2022-04-22,CEG
66,62.360001,62.84,59.439999,62.27,62.116959,2261600.0,2022-04-25,CEG
67,61.799999,62.220001,59.91,59.950001,59.802658,2136500.0,2022-04-26,CEG
68,60.009998,61.189999,59.73,60.09,59.942314,1991600.0,2022-04-27,CEG
69,60.220001,61.349998,58.799999,61.310001,61.159317,3354600.0,2022-04-28,CEG
70,61.5,61.860001,59.150002,59.209999,59.064476,2578400.0,2022-04-29,CEG
71,59.299999,59.990002,56.900002,58.200001,58.056961,2488200.0,2022-05-02,CEG
72,58.450001,60.450001,58.450001,59.700001,59.553272,2224200.0,2022-05-03,CEG
73,60.119999,62.294998,59.842999,61.810001,61.658089,2628900.0,2022-05-04,CEG
74,61.220001,61.990002,59.169998,60.16,60.012142,1946800.0,2022-05-05,CEG
75,60.259998,61.23,58.700001,60.27,60.121872,2861000.0,2022-05-06,CEG
76,60.57,60.57,56.57,57.619999,57.478386,2193700.0,2022-05-09,CEG
77,58.25,59.869999,56.735001,57.040001,56.899811,2156200.0,2022-05-10,CEG
78,57.110001,59.029999,56.529999,57.369999,57.229,1877000.0,2022-05-11,CEG
79,57.310001,57.849998,53.080002,53.470001,53.470001,3785600.0,2022-05-12,CEG
80,54.529999,55.901001,53.630001,54.610001,54.610001,2317500.0,2022-05-13,CEG
81,54.419998,57.130001,54.34,56.59,56.59,1631900.0,2022-05-16,CEG
82,56.849998,59.48,55.98,59.32,59.32,2215100.0,2022-05-17,CEG
83,59.419998,60.255001,56.93,57.279999,57.279999,4609100.0,2022-05-18,CEG
84,57.130001,57.509998,54.919998,57.23,57.23,2181100.0,2022-05-19,CEG
85,57.509998,58.939999,55.490002,56.650002,56.650002,2266200.0,2022-05-20,CEG
86,57.5,57.59,55.860001,56.599998,56.599998,1581800.0,2022-05-23,CEG
87,56.549999,57.360001,55.07,56.779999,56.779999,1682300.0,2022-05-24,CEG
88,56.880001,59.34,56.880001,59.169998,59.169998,1974700.0,2022-05-25,CEG
89,59.18,63.042999,59.169998,62.470001,62.470001,3260100.0,2022-05-26,CEG
90,62.400002,66.639999,62.0,66.599998,66.599998,2793800.0,2022-05-27,CEG
91,65.540001,66.389999,61.369999,62.080002,62.080002,7389300.0,2022-05-31,CEG
92,62.380001,63.919998,62.150002,63.650002,63.650002,2008600.0,2022-06-01,CEG
93,63.689999,64.120003,61.98,63.75,63.75,1758500.0,2022-06-02,CEG
94,63.259998,65.82,63.119999,65.169998,65.169998,1793500.0,2022-06-03,CEG
95,65.57,66.940002,65.385002,66.389999,66.389999,2033200.0,2022-06-06,CEG
96,65.519997,66.699997,65.161003,66.550003,66.550003,2721700.0,2022-06-07,CEG
97,66.440002,66.470001,63.130001,64.769997,64.769997,1922200.0,2022-06-08,CEG
98,64.260002,64.459999,61.16,61.209999,61.209999,1811000.0,2022-06-09,CEG
99,59.849998,61.060001,59.209999,59.790001,59.790001,1540800.0,2022-06-10,CEG
100,58.27,58.990002,55.200001,55.48,55.48,2113200.0,2022-06-13,CEG
101,56.029999,56.48,53.32,54.439999,54.439999,2330400.0,2022-06-14,CEG
102,55.700001,59.555,55.68,58.200001,58.200001,3891700.0,2022-06-15,CEG
103,56.330002,58.349998,56.080002,58.259998,58.259998,4837000.0,2022-06-16,CEG
104,58.549999,59.5,55.485001,58.099998,58.099998,6478700.0,2022-06-17,CEG
105,58.099998,60.939999,58.099998,60.380001,60.380001,4363600.0,2022-06-21,CEG
106,59.279999,60.43,58.865002,59.209999,59.209999,3233400.0,2022-06-22,CEG
107,59.880001,61.23,57.790001,58.650002,58.650002,2667600.0,2022-06-23,CEG
108,58.84,60.34,57.98,59.279999,59.279999,6473700.0,2022-06-24,CEG
109,59.119999,59.870998,58.419998,59.419998,59.419998,1718900.0,2022-06-27,CEG
110,59.84,60.91,57.830002,58.080002,58.080002,1401700.0,2022-06-28,CEG
111,57.959999,58.154999,56.32,57.310001,57.310001,1412200.0,2022-06-29,CEG
112,56.900002,58.834,56.549999,57.259998,57.259998,2424400.0,2022-06-30,CEG
113,56.720001,58.09,56.619999,57.599998,57.599998,1531900.0,2022-07-01,CEG
114,57.150002,57.369999,52.889999,54.939999,54.939999,2696000.0,2022-07-05,CEG
115,55.130001,57.220001,54.560001,56.759998,56.759998,1716600.0,2022-07-06,CEG
